country,year,reporting_level,welfare_type,ppp_version,survey_year,survey_comparability,headcount_ratio_international_povline,headcount_ratio_lower_mid_income_povline,headcount_ratio_upper_mid_income_povline,headcount_ratio_100,headcount_ratio_1000,headcount_ratio_2000,headcount_ratio_3000,headcount_ratio_4000,headcount_ratio_40_median,headcount_ratio_50_median,headcount_ratio_60_median,headcount_international_povline,headcount_lower_mid_income_povline,headcount_upper_mid_income_povline,headcount_100,headcount_1000,headcount_2000,headcount_3000,headcount_4000,headcount_40_median,headcount_50_median,headcount_60_median,avg_shortfall_international_povline,avg_shortfall_lower_mid_income_povline,avg_shortfall_upper_mid_income_povline,avg_shortfall_100,avg_shortfall_1000,avg_shortfall_2000,avg_shortfall_3000,avg_shortfall_4000,avg_shortfall_40_median,avg_shortfall_50_median,avg_shortfall_60_median,total_shortfall_international_povline,total_shortfall_lower_mid_income_povline,total_shortfall_upper_mid_income_povline,total_shortfall_100,total_shortfall_1000,total_shortfall_2000,total_shortfall_3000,total_shortfall_4000,total_shortfall_40_median,total_shortfall_50_median,total_shortfall_60_median,income_gap_ratio_international_povline,income_gap_ratio_lower_mid_income_povline,income_gap_ratio_upper_mid_income_povline,income_gap_ratio_100,income_gap_ratio_1000,income_gap_ratio_2000,income_gap_ratio_3000,income_gap_ratio_4000,income_gap_ratio_40_median,income_gap_ratio_50_median,income_gap_ratio_60_median,poverty_gap_index_international_povline,poverty_gap_index_lower_mid_income_povline,poverty_gap_index_upper_mid_income_povline,poverty_gap_index_100,poverty_gap_index_1000,poverty_gap_index_2000,poverty_gap_index_3000,poverty_gap_index_4000,mean,median,decile1_avg,decile2_avg,decile3_avg,decile4_avg,decile5_avg,decile6_avg,decile7_avg,decile8_avg,decile9_avg,decile10_avg,decile1_share,decile2_share,decile3_share,decile4_share,decile5_share,decile6_share,decile7_share,decile8_share,decile9_share,decile10_share,decile1_thr,decile2_thr,decile3_thr,decile4_thr,decile6_thr,decile7_thr,decile8_thr,decile9_thr,gini,mld,polarization,palma_ratio,s80_s20_ratio,p90_p10_ratio,p90_p50_ratio,p50_p10_ratio
Vietnam,1992,national,consumption,2017,1992.77,0,45.06900457,76.14832837,94.29925752,4.375183523,97.67607702,99.77767524,99.97063635,100,3.024455724,7.865262805,15.42849952,31946482,53976591,66842603,3101283,69236210,70725896,70862674,70883488,2143840,5575173,10936259,0.616780675,1.61915483,4.275784532,0.187266672,7.236487512,17.02070984,26.98049836,36.97057418,0.176053853,0.220327676,0.281472359,19703972.73,87396458.04,285804568,580766.9452,501026969.1,1203804954,1911910260,2620603251,377431.2916,1228364.91,3078254.625,28.68747325,44.36040631,62.42021215,18.72666716,72.36487512,85.10354918,89.93499455,92.42643546,19.08703996,19.10962169,20.34405605,12.92915845,33.77970774,58.8617967,0.819326139,70.68317082,84.91434237,89.90858632,92.42643546,3.029425817,2.305934461,0.987841225,1.373222448,1.616682588,1.879102026,2.151101193,2.47167952,2.903311703,3.556354963,4.678953659,8.676008843,3.260819986,4.532946277,5.33659738,6.202832285,7.100689448,8.15890426,9.583702915,11.73936969,15.44501811,28.63911965,1.23,1.5,1.75,2,2.66,3.17,4.03,5.56,0.356545588,0.206737775,0.301758215,1.481344303,5.656333057,4.520325203,2.406926407,1.87804878
Vietnam,1997,national,consumption,2017,1997.92,0,24.3894816,63.35851151,88.97626939,1.095315632,95.54179435,99.39608062,99.86960509,99.95519522,2.551743421,7.067434803,13.4880437,18812391,48870455,68630254,844852,73694455,76667390,77032634,77098653,1968242,5451339,10403761,0.481557522,1.278474397,3.767786942,0.167866761,6.566551343,16.17412624,26.07772067,36.05225137,0.203022018,0.272845999,0.370545204,9059248.389,62479625.48,258584174.8,141822.5687,483918422.4,1240028045,2008835512,2779580018,399596.4632,1487376.036,3855063.745,22.39802427,35.0266958,55.00418893,16.78667609,65.66551343,80.87063121,86.92573556,90.13062843,16.97387926,18.24927202,20.65322639,5.462762139,22.19239309,48.94067497,0.183867059,62.73800998,80.38223823,86.81238858,90.09024602,3.966856076,2.990212419,1.323585477,1.834423108,2.166232451,2.482664333,2.808787457,3.217385412,3.761882137,4.550900359,5.997919734,11.5247803,3.336610785,4.624375254,5.460829456,6.258518799,7.08063868,8.110668372,9.483283649,11.47231024,15.12008406,29.0526807,1.63,2.01,2.33,2.64,3.45,4.11,5.09,7.19,0.354422075,0.203735357,0.293032564,1.476229025,5.548654972,4.411042945,2.404682274,1.834355828
Vietnam,2002,national,consumption,2017,2002,1,29.93925408,65.60005639,88.90703842,1.690497324,95.07152894,99.4881127,99.90906301,99.95835867,3.036957401,8.027867432,15.58932368,24410793,53486616,72489826,1378337,77516006,81117042,81460261,81500454,2476165,6545474,12710662,0.524194804,1.389612066,3.908657962,0.14771917,6.716373173,16.27991985,26.19622087,36.18182464,0.179862427,0.254900322,0.343109078,12796010.86,74325646.95,283337935.5,203606.7975,520626423.2,1320578942,2133950989,2948835135,445369.0461,1668443.433,4361143.526,24.38115369,38.07156345,57.06070017,14.77191699,67.16373173,81.39959924,87.32073624,90.45456161,15.91863514,18.04786158,20.24446621,7.299535558,24.97496694,50.73097886,0.24971887,63.85358633,80.9829253,87.24132932,90.41689514,3.837617236,2.824714953,1.215546159,1.66971858,1.995347661,2.30817164,2.640987949,3.053469761,3.622785193,4.461521546,5.954646727,11.45397714,3.167450228,4.350925268,5.199444182,6.014595773,6.881843048,7.956681383,9.440194189,11.62575961,15.5165207,29.84658562,1.49,1.84,2.15,2.47,3.31,3.99,5.02,7.28,0.370296242,0.221419067,0.319094861,1.593312176,6.03363138,4.88590604,2.581560284,1.89261745
Vietnam,2004,national,consumption,2017,2004,1,20.14201176,54.14079416,84.16833023,1.388958926,93.31746877,99.17593937,99.80741166,99.97062176,4.929259354,10.68635381,18.09291109,16730523,44970870,69912588,1153708,77512120,82378331,82902850,83038417,4094382,8876387,15028482,0.525462526,1.250407875,3.546874473,0.162804583,6.217521146,15.65415576,25.53458224,35.48540667,0.268276665,0.368995893,0.488480836,8791262.883,56231929.98,247971173.7,187828.9497,481933245.2,1289563225,2116889642,2946651996,1098427.147,3275350.346,7341125.458,24.44011751,34.25774999,51.77918938,16.28045829,62.17521146,78.2707788,85.11527415,88.71351667,19.54936934,21.51103825,23.73045826,4.92273141,18.54741797,43.58167924,0.226128793,58.0203334,77.62578011,84.95135236,88.68745462,4.526308603,3.430758557,1.32215892,1.919489842,2.343237604,2.752348772,3.188622209,3.717306058,4.43416611,5.426622629,7.136220708,13.02291317,2.921053415,4.240740105,5.176928508,6.080780198,7.044641648,8.212665959,9.796429053,11.98906903,15.76609404,28.77159804,1.68,2.15,2.55,2.97,4.05,4.87,6.13,8.52,0.367858307,0.221277918,0.324271387,1.562018218,6.218790301,5.071428571,2.483965015,2.041666667
Vietnam,2006,national,consumption,2017,2006,1,14.90166847,44.59290181,79.78909203,0.903684122,91.6462524,98.85977737,99.85260747,99.92588714,5.776211314,11.72434803,19.01220508,12609426,37733419,67515571,764675,77548809,83652717,84492825,84554833,4887688,9920855,16087661,0.503046872,1.172518206,3.273891301,0.166499125,5.84220549,15.19703723,25.00860958,34.98697722,0.314434073,0.447349152,0.595036794,6343132.307,44243120.75,221038640.6,127317.7183,453056077.7,1271273454,2113048072,2958318016,1536855.643,4438086.076,9572750.231,23.39752893,32.12378647,47.79403359,16.64991249,58.4220549,75.98518613,83.36203192,87.46744306,19.84742639,22.58973858,25.03958701,3.486622185,14.32492865,38.13442553,0.150462553,53.54162398,75.1187862,83.23916246,87.40261894,5.053987757,3.960640367,1.465401135,2.158621066,2.651618167,3.152474186,3.675735336,4.304619692,5.083421387,6.186394448,7.850364019,14.01122813,2.899494825,4.271124445,5.246586052,6.237597591,7.272940721,8.517273685,10.05823843,12.24062017,15.53300957,27.72311452,1.87,2.42,2.9,3.41,4.65,5.58,6.88,9.2,0.357886156,0.211634565,0.315341099,1.486111359,6.032411212,4.919786096,2.323232323,2.117647059
Vietnam,2008,national,consumption,2017,2008,1,11.13982687,39.67520627,77.69815474,0.512725556,90.11965821,98.63067189,99.65375833,99.87990929,4.917838031,10.82749348,17.15380354,9607368,34217256,67009549,442192,77722279,85062469,85944813,86139854,4241312,9338001,14794028,0.47790108,1.0613725,3.088489958,0.170520467,5.628105595,14.86358526,24.66509181,34.60120779,0.357213666,0.467832644,0.635491222,4591371.544,36317254.53,206958319.1,75402.78648,437429193.3,1264333261,2119836703,2980542987,1515054.607,4368621.694,9401474.929,22.22795721,29.07869862,45.08744464,17.05204673,56.28105595,74.31792631,82.2169727,86.50301948,20.99815739,22.00055468,24.9041325,2.476155919,11.53703354,35.03211248,0.0874301865,50.7202953,73.30027044,81.93230297,86.39913773,5.458042714,4.252916805,1.622533238,2.42254796,2.932639505,3.41168836,3.945938045,4.603380729,5.382713755,6.536384612,8.422397665,15.30020328,2.972738257,4.438492124,5.373060744,6.250754234,7.229584397,8.434123677,9.861985398,11.9756934,15.43116847,28.0323993,2.07,2.75,3.14,3.67,4.94,5.88,7.34,9.94,0.355703125,0.208426254,0.305466772,1.472673102,5.864554943,4.801932367,2.338823529,2.053140097
Vietnam,2010,national,consumption,2017,2010,2,2.870482209,14.01069821,46.73842185,0.107704791,69.07151819,92.55517263,97.39623492,98.52472373,7.550776453,13.41317707,19.72277575,2525096,12324883,41114694,94745,60760595,81418615,85677184,86669889,6642241,11799257,17349663,0.42210846,0.925499497,2.349312736,0.0923924751,4.291843204,12.29176029,21.48267287,31.18810984,0.632874939,0.904342089,1.215716679,1065864.383,11406673.02,96591274.25,8753.725054,260774946.7,1000778099,1840574917,2703070018,4203707.871,10670564.72,21092274.69,19.63295162,25.3561506,34.29653629,9.239247511,42.91843204,61.45880145,71.60890958,77.9702746,22.04308346,25.19864434,28.22900445,0.563560409,3.552573835,16.02965994,0.00995107242,29.64441268,56.88329982,69.74438186,76.81999759,9.624413781,7.177704298,2.438878206,3.777044548,4.761949197,5.669742375,6.676886137,7.757243904,9.281211782,11.32577601,14.84196849,29.71343715,2.534053774,3.924441149,4.947781034,5.891000225,6.937447089,8.059965084,9.643404776,11.76775674,15.42116625,30.87298388,3.22,4.33,5.2,6.17,8.41,10.16,12.72,17.72,0.392527248,0.258846053,0.329290742,1.784846559,7.167947127,5.50310559,2.467966574,2.229813665
Vietnam,2012,national,consumption,2017,2012,2,1.660162326,10.21394326,40.70265255,0.0195009778,64.96304534,92.76048525,97.54659549,98.97610623,6.875086798,12.84765871,20.37864613,1490858,9172318,36551766,17512,58338066,83300702,87598721,88882450,6173960,11537445,18300417,0.351962877,0.859384905,2.190896596,0.102626718,3.967087099,11.72335548,20.95728623,30.59833506,0.700123314,0.981924599,1.264758299,524726.671,7882551.63,80081139.69,1797.199086,231432189,976563741.4,1835831470,2719654986,4322533.336,11328901.05,23145604.27,16.37036638,23.54479191,31.98389191,10.2626718,39.67087099,58.61677741,69.85762078,76.49583764,21.97603857,24.65715672,26.46617302,0.271774702,2.404851747,13.01829242,0.00200129236,25.77140595,54.37320695,68.14373038,75.7126018,9.897621437,7.964621465,2.772441647,4.208454363,5.237415772,6.26703618,7.356397129,8.587452704,9.99446065,11.97467675,15.17112316,27.40675601,2.801119102,4.251985581,5.291590314,6.331860862,7.432489893,8.676279204,10.09784089,12.09853986,15.32804953,27.69024476,3.63,4.74,5.73,6.77,9.21,10.84,13.2,17.84,0.356458864,0.212664449,0.301715156,1.482620509,6.099199746,4.914600551,2.238393977,2.195592287
Vietnam,2014,national,consumption,2017,2014,2,1.91204581,8.812655119,34.87658439,0.0145403964,60.43269417,91.95927283,97.3168095,98.88143056,7.508654832,13.02653728,19.55917099,1753611,8082425,31986658,13336,55425150,84339390,89252993,90687967,6886476,11947139,17938469,0.38806837,0.93121161,2.165035108,0.143711854,3.776972251,11.25505461,20.4318464,30.04648895,0.851654142,1.160610187,1.475249445,680520.9618,7526447.999,69252237.55,1916.541279,209339253.5,949244440.5,1823603444,2724854998,5864895.807,13865971.23,26463716.45,18.04969161,25.51264686,31.60635194,14.37118535,37.76972251,56.27527306,68.10615466,75.11622237,24.84739032,27.08905685,28.69404139,0.345118406,2.248341497,11.0232159,0.00208969668,22.82526069,51.75033217,66.27873702,74.27599534,10.47752683,8.568848989,2.840720853,4.557474182,5.737239153,6.84402686,7.956402786,9.240384682,10.7335942,12.69688353,16.04487172,28.12367036,2.711251327,4.349761403,5.47575706,6.532101487,7.593779442,8.819242202,10.24439677,12.11820665,15.31360594,26.84189772,3.83,5.19,6.3,7.37,9.94,11.62,14,18.58,0.347553755,0.205396315,0.291630426,1.407629079,5.970178114,4.851174935,2.168028005,2.237597911
Vietnam,2016,national,consumption,2017,2016,2,1.263445246,6.434035487,27.12824965,0.0486362418,51.25346045,87.76238534,95.95399242,98.3048141,7.607471867,13.40248147,20.25202375,1183096,6024859,25403011,45543,47993963,82181079,89851736,92053056,7123670,12550142,18964083,0.390133816,0.906916692,2.100480182,0.182505233,3.541485629,10.47932027,19.25755563,28.7074092,1.03388343,1.348266282,1.709818965,461565.7574,5464045.195,53358521.18,8311.835821,169969930.3,861201847,1730324804,2642604747,7365044.372,16920933.29,32425148.78,18.14575889,24.84703266,30.66394427,18.25052329,35.41485629,52.39660135,64.19185209,71.76852301,26.26316794,27.39940908,28.95572257,0.229261801,1.598666947,8.31859136,0.00887633192,18.15133924,45.98450696,61.59464496,70.55191347,12.09947237,9.841571968,3.204773517,5.14264219,6.548084564,7.82131486,9.141768665,10.59973908,12.3518697,14.76473052,18.60831707,32.81148355,2.648688653,4.25030285,5.411876124,6.464178453,7.555510178,8.760496953,10.20860193,12.20278874,15.37944507,27.11811106,4.38,5.88,7.16,8.47,11.44,13.4,16.38,21.58,0.352667389,0.212219619,0.296838517,1.44436988,6.15996644,4.926940639,2.193089431,2.246575342
